Liczba krokow,Liczba watków,Czas (s),Przyblizona liczba PI
100000000,1,1.04031,3.14159
100000000,2,0.576382,3.14159
100000000,3,0.334107,3.14159
100000000,4,0.261856,3.14159
100000000,5,0.247535,3.14159
100000000,6,0.186693,3.14159
100000000,7,0.169141,3.14159
100000000,8,0.148276,3.14159
100000000,9,0.12687,3.14159
100000000,10,0.140218,3.14159
100000000,11,0.125935,3.14159
100000000,12,0.136689,3.14159
100000000,13,0.143136,3.14159
100000000,14,0.146671,3.14159
100000000,15,0.114544,3.14159
100000000,16,0.154825,3.14159
100000000,17,0.154458,3.14159
100000000,18,0.117725,3.14159
100000000,19,0.113147,3.14159
100000000,20,0.115196,3.14159
100000000,21,0.110645,3.14159
100000000,22,0.1096,3.14159
100000000,23,0.108757,3.14159
100000000,24,0.109742,3.14159
100000000,25,0.11337,3.14159
100000000,26,0.119421,3.14159
100000000,27,0.11871,3.14159
100000000,28,0.11926,3.14159
100000000,29,0.126013,3.14159
100000000,30,0.125695,3.14159
100000000,31,0.121482,3.14159
100000000,32,0.116766,3.14159
100000000,33,0.114119,3.14159
100000000,34,0.11713,3.14159
100000000,35,0.11458,3.14159
100000000,36,0.123953,3.14159
100000000,37,0.127287,3.14159
100000000,38,0.128489,3.14159
100000000,39,0.120966,3.14159
100000000,40,0.123822,3.14159
100000000,41,0.11831,3.14159
100000000,42,0.125928,3.14159
100000000,43,0.141663,3.14159
100000000,44,0.135414,3.14159
100000000,45,0.154469,3.14159
100000000,46,0.139972,3.14159
100000000,47,0.117704,3.14159
100000000,48,0.120986,3.14159
100000000,49,0.124357,3.14159
100000000,50,0.126313,3.14159
1000000000,1,6.15145,3.14159
1000000000,2,3.4397,3.14159
1000000000,3,2.42259,3.14159
1000000000,4,1.8876,3.14159
1000000000,5,1.5261,3.14159
1000000000,6,1.34501,3.14159
1000000000,7,1.20022,3.14159
1000000000,8,1.11682,3.14159
1000000000,9,1.03048,3.14159
1000000000,10,0.987089,3.14159
1000000000,11,0.945815,3.14159
1000000000,12,0.93102,3.14159
1000000000,13,0.97095,3.14159
1000000000,14,0.940206,3.14159
1000000000,15,0.9235,3.14159
1000000000,16,1.00439,3.14159
1000000000,17,0.935113,3.14159
1000000000,18,0.977186,3.14159
1000000000,19,0.999891,3.14159
1000000000,20,1.09337,3.14159
1000000000,21,1.01105,3.14159
1000000000,22,1.00872,3.14159
1000000000,23,0.989156,3.14159
1000000000,24,1.0092,3.14159
1000000000,25,0.990708,3.14159
1000000000,26,0.987899,3.14159
1000000000,27,0.970628,3.14159
1000000000,28,0.984806,3.14159
1000000000,29,0.965486,3.14159
1000000000,30,1.01929,3.14159
1000000000,31,0.991475,3.14159
1000000000,32,1.02941,3.14159
1000000000,33,1.01316,3.14159
1000000000,34,0.996647,3.14159
1000000000,35,1.07399,3.14159
1000000000,36,0.979346,3.14159
1000000000,37,0.947737,3.14159
1000000000,38,0.956651,3.14159
1000000000,39,0.938584,3.14159
1000000000,40,0.926869,3.14159
1000000000,41,0.955572,3.14159
1000000000,42,0.962034,3.14159
1000000000,43,0.972263,3.14159
1000000000,44,0.939354,3.14159
1000000000,45,0.975276,3.14159
1000000000,46,0.945534,3.14159
1000000000,47,0.949794,3.14159
1000000000,48,1.05161,3.14159
1000000000,49,1.08422,3.14159
1000000000,50,0.955166,3.14159
3000000000,1,18.2479,3.14159
3000000000,2,10.3177,3.14159
3000000000,3,7.157,3.14159
3000000000,4,5.50187,3.14159
3000000000,5,4.594,3.14159
3000000000,6,4.06338,3.14159
3000000000,7,3.54054,3.14159
3000000000,8,3.42414,3.14159
3000000000,9,3.0836,3.14159
3000000000,10,3.09172,3.14159
3000000000,11,2.77889,3.14159
3000000000,12,2.8185,3.14159
3000000000,13,3.00686,3.14159
3000000000,14,3.05502,3.14159
3000000000,15,2.71622,3.14159
3000000000,16,2.72138,3.14159
3000000000,17,2.7011,3.14159
3000000000,18,2.73,3.14159
3000000000,19,2.67516,3.14159
3000000000,20,2.84322,3.14159
3000000000,21,2.76692,3.14159
3000000000,22,2.70625,3.14159
3000000000,23,2.77367,3.14159
3000000000,24,2.71094,3.14159
3000000000,25,2.76562,3.14159
3000000000,26,2.77906,3.14159
3000000000,27,2.71594,3.14159
3000000000,28,2.74171,3.14159
3000000000,29,2.80753,3.14159
3000000000,30,2.80651,3.14159
3000000000,31,2.85746,3.14159
3000000000,32,2.70835,3.14159
3000000000,33,2.84522,3.14159
3000000000,34,2.8221,3.14159
3000000000,35,2.9125,3.14159
3000000000,36,2.96871,3.14159
3000000000,37,2.93973,3.14159
3000000000,38,2.84364,3.14159
3000000000,39,2.8458,3.14159
3000000000,40,2.82217,3.14159
3000000000,41,2.77617,3.14159
3000000000,42,2.6745,3.14159
3000000000,43,2.68479,3.14159
3000000000,44,2.75765,3.14159
3000000000,45,2.80245,3.14159
3000000000,46,2.72191,3.14159
3000000000,47,2.84847,3.14159
3000000000,48,2.82056,3.14159
3000000000,49,2.76735,3.14159
3000000000,50,2.72943,3.14159
